,Year,Month,Sales(In ThousandDollars),Monthly Nominal GDP Index (inMillion$),Monthly Real GDP Index (inMillion$),CPI,unemployment rate,CommercialBankInterestRateonCreditCardPlans,"Finance Rate on Personal Loans at Commercial Banks, 24 Month Loan",Earnings or wages  in dollars per hour,Cotton Monthly Price - US cents per Pound(lbs),Change(in%),Average upland planted(million acres),Average upland harvested(million acres),yieldperharvested acre,Production (in  480-lb netweright in million bales),Mill use  (in  480-lb netweright in million bales),Exports,ProductCategory_OtherClothing,ProductCategory_WomenClothing
160,2013,6,678.0,16641.1628402815,15584.747527855,256.911,7.5,11.95,10.34,23.92,93.08,0.5,9.82,7.896,785.0,12.92,3.475,10.35,0,0
161,2013,6,1261.0,16641.1628402815,15584.747527855,256.911,7.5,11.95,10.34,23.92,93.08,0.5,9.82,7.896,785.0,12.92,3.475,10.35,1,0
162,2013,7,3320.0,16685.7422459966,15606.008068178,257.326,7.3,11.95,10.34,23.81,92.62,-0.49,10.025,7.579,815.0,12.872,3.475,10.35,0,1
163,2013,7,648.0,16685.7422459966,15606.008068178,257.326,7.3,11.95,10.34,23.81,92.62,-0.49,10.025,7.579,815.0,12.872,3.475,10.35,0,0
164,2013,7,1126.0,16685.7422459966,15606.008068178,257.326,7.3,11.95,10.34,23.81,92.62,-0.49,10.025,7.579,815.0,12.872,3.475,10.35,1,0
165,2013,8,3539.0,16776.9925650618,15673.4399705102,257.659,7.3,11.88,10.13,23.8,92.71,0.1,10.015,7.519,796.0,12.473,3.48,13.38,0,1
166,2013,8,687.0,16776.9925650618,15673.4399705102,257.659,7.3,11.88,10.13,23.8,92.71,0.1,10.015,7.519,796.0,12.473,3.48,13.38,0,0
167,2013,8,1311.0,16776.9925650618,15673.4399705102,257.659,7.3,11.88,10.13,23.8,92.71,0.1,10.015,7.519,796.0,12.473,3.48,13.38,1,0
168,2013,9,3720.0,16785.3121890169,15644.8322684107,258.504,7.2,11.88,10.13,24.16,90.09,-2.83,10.136,7.582,777.0,12.273,3.48,9.65,0,1
169,2013,9,681.0,16785.3121890169,15644.8322684107,258.504,7.2,11.88,10.13,24.16,90.09,-2.83,10.136,7.582,777.0,12.273,3.48,9.65,0,0
170,2013,9,1043.0,16785.3121890169,15644.8322684107,258.504,7.2,11.88,10.13,24.16,90.09,-2.83,10.136,7.582,777.0,12.273,3.48,9.65,1,0
171,2013,10,3590.0,16884.8548158416,15729.9593664586,257.069,7.2,11.88,10.13,24.04,89.35,-0.82,10.136,7.582,777.0,12.273,3.48,9.65,0,1
172,2013,10,785.0,16884.8548158416,15729.9593664586,257.069,7.2,11.88,10.13,24.04,89.35,-0.82,10.136,7.582,777.0,12.273,3.48,9.65,0,0
173,2013,10,1080.5,16884.8548158416,15729.9593664586,257.069,7.2,11.88,10.13,24.04,89.35,-0.82,10.136,7.582,777.0,12.273,3.48,9.65,1,0
174,2013,11,3834.0,17053.7381074546,15841.7587619459,257.377,6.9,11.85,10.22,24.11,84.65,-5.26,10.136,7.582,790.0,12.479,3.58,9.65,0,1
175,2013,11,798.0,17053.7381074546,15841.7587619459,257.377,6.9,11.85,10.22,24.11,84.65,-5.26,10.136,7.582,790.0,12.479,3.58,9.65,0,0
176,2013,11,1209.0,17053.7381074546,15841.7587619459,257.377,6.9,11.85,10.22,24.11,84.65,-5.26,10.136,7.582,790.0,12.479,3.58,9.65,1,0
177,2013,12,4865.0,17061.0710766589,15810.4101820915,257.284,6.7,11.85,10.22,24.3,87.49,3.35,10.136,7.582,788.0,12.443,3.58,9.65,0,1
178,2013,12,1085.0,17061.0710766589,15810.4101820915,257.284,6.7,11.85,10.22,24.3,87.49,3.35,10.136,7.582,788.0,12.443,3.58,9.65,0,0
179,2013,12,1566.0,17061.0710766589,15810.4101820915,257.284,6.7,11.85,10.22,24.3,87.49,3.35,10.136,7.582,788.0,12.443,3.58,9.65,1,0
180,2014,1,2961.0,16955.6086260419,15705.9726665754,259.596,6.6,11.85,10.22,24.35,90.96,3.97,10.206,7.465,807.0,12.551,3.58,9.75,0,1
181,2014,1,573.0,16955.6086260419,15705.9726665754,259.596,6.6,11.85,10.22,24.35,90.96,3.97,10.206,7.465,807.0,12.551,3.58,9.75,0,0
182,2014,1,1172.0,16955.6086260419,15705.9726665754,259.596,6.6,11.85,10.22,24.35,90.96,3.97,10.206,7.465,807.0,12.551,3.58,9.75,1,0
183,2014,2,3381.0,17028.5863480232,15762.5989199868,259.019,6.7,11.83,10.09,24.58,94.05,3.4,10.206,7.465,807.0,12.551,3.58,9.75,0,1
184,2014,2,636.0,17028.5863480232,15762.5989199868,259.019,6.7,11.83,10.09,24.58,94.05,3.4,10.206,7.465,807.0,12.551,3.58,9.75,0,0
185,2014,2,1123.0,17028.5863480232,15762.5989199868,259.019,6.7,11.83,10.09,24.58,94.05,3.4,10.206,7.465,807.0,12.551,3.58,9.75,1,0
186,2014,3,4268.0,17109.7770258219,15804.5190679663,259.971,6.7,11.83,10.09,24.5,96.95,3.08,10.206,7.465,807.0,12.551,3.58,9.95,0,1
187,2014,3,702.0,17109.7770258219,15804.5190679663,259.971,6.7,11.83,10.09,24.5,96.95,3.08,10.206,7.465,807.0,12.551,3.58,9.95,0,0
188,2014,3,1293.0,17109.7770258219,15804.5190679663,259.971,6.7,11.83,10.09,24.5,96.95,3.08,10.206,7.465,807.0,12.551,3.58,9.95,1,0
189,2014,4,4223.0,17208.8646835022,15870.1780534192,259.985,6.2,11.83,10.09,24.4,94.2,-2.84,10.206,7.465,787.0,12.234,3.58,9.975,0,1
190,2014,4,785.0,17208.8646835022,15870.1780534192,259.985,6.2,11.83,10.09,24.4,94.2,-2.84,10.206,7.465,787.0,12.234,3.58,9.975,0,0
191,2014,4,1196.0,17208.8646835022,15870.1780534192,259.985,6.2,11.83,10.09,24.4,94.2,-2.84,10.206,7.465,787.0,12.234,3.58,9.975,1,0
192,2014,5,4421.0,17345.3340279535,15946.7413358487,261.225,6.3,11.83,9.57,24.3,92.71,-1.58,10.206,7.345,802.0,12.275,3.58,9.675,0,1
193,2014,5,801.0,17345.3340279535,15946.7413358487,261.225,6.3,11.83,9.57,24.3,92.71,-1.58,10.206,7.345,802.0,12.275,3.58,9.675,0,0
194,2014,5,1257.0,17345.3340279535,15946.7413358487,261.225,6.3,11.83,9.57,24.3,92.71,-1.58,10.206,7.345,802.0,12.275,3.58,9.675,1,0
195,2014,6,3905.0,17408.5642886561,15990.9774182691,261.35,6.1,11.83,9.57,24.42,90.9,-1.95,10.943,8.594,811.0,14.512,3.675,9.22,0,1
196,2014,6,702.0,17408.5642886561,15990.9774182691,261.35,6.1,11.83,9.57,24.42,90.9,-1.95,10.943,8.594,811.0,14.512,3.675,9.22,0,0
197,2014,6,1080.5,17408.5642886561,15990.9774182691,261.35,6.1,11.83,9.57,24.42,90.9,-1.95,10.943,8.594,811.0,14.512,3.675,9.22,1,0
198,2014,7,3733.0,17551.7810654546,16089.4991872348,261.498,6.2,11.83,9.57,24.31,83.84,-7.77,11.191,8.594,804.0,15.955,3.775,9.72,0,1
199,2014,7,655.0,17551.7810654546,16089.4991872348,261.498,6.2,11.83,9.57,24.31,83.84,-7.77,11.191,8.594,804.0,15.955,3.775,9.72,0,0
200,2014,7,1175.0,17551.7810654546,16089.4991872348,261.498,6.2,11.83,9.57,24.31,83.84,-7.77,11.191,8.594,804.0,15.955,3.775,9.72,1,0
201,2014,8,4067.0,17684.6353487167,16196.4201317793,261.075,6.2,11.82,10.73,24.32,74.0,-11.74,11.191,10.065,808.0,16.946,3.775,10.15,0,1
202,2014,8,692.0,17684.6353487167,16196.4201317793,261.075,6.2,11.82,10.73,24.32,74.0,-11.74,11.191,10.065,808.0,16.946,3.775,10.15,0,0
203,2014,8,1337.0,17684.6353487167,16196.4201317793,261.075,6.2,11.82,10.73,24.32,74.0,-11.74,11.191,10.065,808.0,16.946,3.775,10.15,1,0
204,2014,9,4481.0,17630.3545858248,16133.04942679,261.074,5.9,11.82,10.73,24.5,73.38,-0.84,10.818,9.692,790.0,15.96,3.775,9.45,0,1
205,2014,9,1080.5,17630.3545858248,16133.04942679,261.074,5.9,11.82,10.73,24.5,73.38,-0.84,10.818,9.692,790.0,15.96,3.775,9.45,0,0
206,2014,9,1056.0,17630.3545858248,16133.04942679,261.074,5.9,11.82,10.73,24.5,73.38,-0.84,10.818,9.692,790.0,15.96,3.775,9.45,1,0
207,2014,10,4434.0,17709.436966528,16196.8144741713,260.5,5.7,11.82,10.73,24.52,70.34,-4.14,10.818,9.692,776.0,15.677,3.775,9.45,0,1
208,2014,10,757.0,17709.436966528,16196.8144741713,260.5,5.7,11.82,10.73,24.52,70.34,-4.14,10.818,9.692,776.0,15.677,3.775,9.45,0,0
209,2014,10,1153.0,17709.436966528,16196.8144741713,260.5,5.7,11.82,10.73,24.52,70.34,-4.14,10.818,9.692,776.0,15.677,3.775,9.45,1,0
210,2014,11,4525.0,17765.3375697651,16243.0547343862,259.382,5.8,11.99,10.47,24.78,67.53,-3.99,10.818,9.692,783.0,15.819,3.775,9.45,0,1
211,2014,11,803.0,17765.3375697651,16243.0547343862,259.382,5.8,11.99,10.47,24.78,67.53,-3.99,10.818,9.692,783.0,15.819,3.775,9.45,0,0
212,2014,11,1468.0,17765.3375697651,16243.0547343862,259.382,5.8,11.99,10.47,24.78,67.53,-3.99,10.818,9.692,783.0,15.819,3.775,9.45,1,0
213,2014,12,5664.0,17733.0244635913,16221.1801252161,258.08,5.6,11.99,10.47,24.59,68.3,1.14,10.818,9.692,760.0,15.345,3.775,9.45,0,1
214,2014,12,1070.0,17733.0244635913,16221.1801252161,258.08,5.6,11.99,10.47,24.59,68.3,1.14,10.818,9.692,760.0,15.345,3.775,9.45,0,0
215,2014,12,1967.0,17733.0244635913,16221.1801252161,258.08,5.6,11.99,10.47,24.59,68.3,1.14,10.818,9.692,760.0,15.345,3.775,9.45,1,0
